GEOID,x_coords,y_coords
4015950500,"[-114.3663, -114.29129999999999, -114.29129999999999, -114.3663, -114.4413, -114.4413, -114.3663]","[35.09955150646231, 35.056250236273094, 34.96964769589464, 34.926346425705425, 34.96964769589464, 35.056250236273094, 35.09955150646231]"
4015954900,"[-114.0663, -113.9913, -113.9913, -114.0663, -114.1413, -114.1413, -114.0663]","[35.09955150646231, 35.056250236273094, 34.96964769589464, 34.926346425705425, 34.96964769589464, 35.056250236273094, 35.09955150646231]"
4015951800,"[-114.66629999999999, -114.59129999999999, -114.59129999999999, -114.66629999999999, -114.7413, -114.7413, -114.66629999999999]","[35.09955150646231, 35.056250236273094, 34.96964769589464, 34.926346425705425, 34.96964769589464, 35.056250236273094, 35.09955150646231]"
4015952400,"[-114.3663, -114.29129999999999, -114.29129999999999, -114.3663, -114.4413, -114.4413, -114.3663]","[34.66653880457009, 34.62323753438087, 34.53663499400242, 34.4933337238132, 34.53663499400242, 34.62323753438087, 34.66653880457009]"
4027012100,"[-113.8413, -113.7663, -113.7663, -113.8413, -113.9163, -113.9163, -113.8413]","[33.15099434794732, 33.1076930777581, 33.02109053737965, 32.97778926719043, 33.02109053737965, 33.1076930777581, 33.15099434794732]"
4027000200,"[-114.5913, -114.5163, -114.5163, -114.5913, -114.6663, -114.6663, -114.5913]","[32.804584186433544, 32.761282916244326, 32.674680375865876, 32.63137910567666, 32.674680375865876, 32.761282916244326, 32.804584186433544]"
4027000301,"[-114.66629999999999, -114.59129999999999, -114.59129999999999, -114.66629999999999, -114.7413, -114.7413, -114.66629999999999]","[32.84788545662277, 32.80458418643355, 32.7179816460551, 32.67468037586588, 32.7179816460551, 32.80458418643355, 32.84788545662277]"
4027000908,"[-114.66629999999999, -114.59129999999999, -114.59129999999999, -114.66629999999999, -114.7413, -114.7413, -114.66629999999999]","[32.761282916244326, 32.71798164605511, 32.63137910567666, 32.58807783548744, 32.63137910567666, 32.71798164605511, 32.761282916244326]"
4027011000,"[-114.7413, -114.66629999999999, -114.66629999999999, -114.7413, -114.8163, -114.8163, -114.7413]","[32.7179816460551, 32.67468037586588, 32.58807783548743, 32.544776565298214, 32.58807783548743, 32.67468037586588, 32.7179816460551]"
4027980003,"[-113.6163, -113.54129999999999, -113.54129999999999, -113.6163, -113.6913, -113.6913, -113.6163]","[32.32827021435211, 32.28496894416289, 32.19836640378444, 32.15506513359522, 32.19836640378444, 32.28496894416289, 32.32827021435211]"
4027000902,"[-114.5913, -114.5163, -114.5163, -114.5913, -114.6663, -114.6663, -114.5913]","[32.7179816460551, 32.67468037586588, 32.58807783548743, 32.544776565298214, 32.58807783548743, 32.67468037586588, 32.7179816460551]"
4027010913,"[-114.5163, -114.4413, -114.4413, -114.5163, -114.5913, -114.5913, -114.5163]","[32.761282916244326, 32.71798164605511, 32.63137910567666, 32.58807783548744, 32.63137910567666, 32.71798164605511, 32.761282916244326]"
4027011112,"[-114.3663, -114.29129999999999, -114.29129999999999, -114.3663, -114.4413, -114.4413, -114.3663]","[32.761282916244326, 32.71798164605511, 32.63137910567666, 32.58807783548744, 32.63137910567666, 32.71798164605511, 32.761282916244326]"
4027011107,"[-114.5163, -114.4413, -114.4413, -114.5163, -114.5913, -114.5913, -114.5163]","[32.67468037586588, 32.631379105676665, 32.544776565298214, 32.501475295108996, 32.544776565298214, 32.631379105676665, 32.67468037586588]"
4027010914,"[-114.4413, -114.3663, -114.3663, -114.4413, -114.5163, -114.5163, -114.4413]","[32.89118672681199, 32.84788545662277, 32.76128291624432, 32.7179816460551, 32.76128291624432, 32.84788545662277, 32.89118672681199]"
4027011202,"[-113.91629999999999, -113.84129999999999, -113.84129999999999, -113.91629999999999, -113.9913, -113.9913, -113.91629999999999]","[32.84788545662277, 32.80458418643355, 32.7179816460551, 32.67468037586588, 32.7179816460551, 32.80458418643355, 32.84788545662277]"
4027980005,"[-114.5913, -114.5163, -114.5163, -114.5913, -114.6663, -114.6663, -114.5913]","[32.544776565298214, 32.501475295108996, 32.414872754730546, 32.37157148454133, 32.414872754730546, 32.501475295108996, 32.544776565298214]"
4027980004,"[-113.91629999999999, -113.84129999999999, -113.84129999999999, -113.91629999999999, -113.9913, -113.9913, -113.91629999999999]","[32.58807783548744, 32.54477656529822, 32.45817402491977, 32.41487275473055, 32.45817402491977, 32.54477656529822, 32.58807783548744]"
4027000302,"[-114.5913, -114.5163, -114.5163, -114.5913, -114.6663, -114.6663, -114.5913]","[32.89118672681199, 32.84788545662277, 32.76128291624432, 32.7179816460551, 32.76128291624432, 32.84788545662277, 32.89118672681199]"
4027000402,"[-114.7413, -114.66629999999999, -114.66629999999999, -114.7413, -114.8163, -114.8163, -114.7413]","[32.804584186433544, 32.761282916244326, 32.674680375865876, 32.63137910567666, 32.674680375865876, 32.761282916244326, 32.804584186433544]"
4027000600,"[-114.66629999999999, -114.59129999999999, -114.59129999999999, -114.66629999999999, -114.7413, -114.7413, -114.66629999999999]","[32.67468037586588, 32.631379105676665, 32.544776565298214, 32.501475295108996, 32.544776565298214, 32.631379105676665, 32.67468037586588]"
4027000700,"[-114.5163, -114.4413, -114.4413, -114.5163, -114.5913, -114.5913, -114.5163]","[32.84788545662277, 32.80458418643355, 32.7179816460551, 32.67468037586588, 32.7179816460551, 32.80458418643355, 32.84788545662277]"
4019004325,"[-111.8163, -111.7413, -111.7413, -111.8163, -111.8913, -111.8913, -111.8163]","[31.895257512459885, 31.851956242270663, 31.76535370189222, 31.722052431703, 31.76535370189222, 31.851956242270663, 31.895257512459885]"
4027000800,"[-114.5913, -114.5163, -114.5163, -114.5913, -114.6663, -114.6663, -114.5913]","[32.63137910567666, 32.58807783548744, 32.50147529510899, 32.45817402491977, 32.50147529510899, 32.58807783548744, 32.63137910567666]"
4027000901,"[-114.7413, -114.66629999999999, -114.66629999999999, -114.7413, -114.8163, -114.8163, -114.7413]","[32.89118672681199, 32.84788545662277, 32.76128291624432, 32.7179816460551, 32.76128291624432, 32.84788545662277, 32.89118672681199]"
4027000903,"[-114.66629999999999, -114.59129999999999, -114.59129999999999, -114.66629999999999, -114.7413, -114.7413, -114.66629999999999]","[32.93448799700121, 32.891186726811995, 32.804584186433544, 32.761282916244326, 32.804584186433544, 32.891186726811995, 32.93448799700121]"
4027001100,"[-114.4413, -114.3663, -114.3663, -114.4413, -114.5163, -114.5163, -114.4413]","[32.804584186433544, 32.761282916244326, 32.674680375865876, 32.63137910567666, 32.674680375865876, 32.761282916244326, 32.804584186433544]"
4027001200,"[-114.4413, -114.3663, -114.3663, -114.4413, -114.5163, -114.5163, -114.4413]","[32.7179816460551, 32.67468037586588, 32.58807783548743, 32.544776565298214, 32.58807783548743, 32.67468037586588, 32.7179816460551]"
4027011501,"[-114.7413, -114.66629999999999, -114.66629999999999, -114.7413, -114.8163, -114.8163, -114.7413]","[32.63137910567666, 32.58807783548744, 32.50147529510899, 32.45817402491977, 32.50147529510899, 32.58807783548744, 32.63137910567666]"
4027000100,"[-114.5163, -114.4413, -114.4413, -114.5163, -114.5913, -114.5913, -114.5163]","[32.93448799700121, 32.891186726811995, 32.804584186433544, 32.761282916244326, 32.804584186433544, 32.891186726811995, 32.93448799700121]"
4009961201,"[-111.8163, -111.7413, -111.7413, -111.8163, -111.8913, -111.8913, -111.8163]","[32.93448799700121, 32.891186726811995, 32.804584186433544, 32.761282916244326, 32.804584186433544, 32.891186726811995, 32.93448799700121]"
4013813200,"[-111.8163, -111.7413, -111.7413, -111.8163, -111.8913, -111.8913, -111.8163]","[33.36750069889343, 33.32419942870421, 33.23759688832576, 33.19429561813654, 33.23759688832576, 33.32419942870421, 33.36750069889343]"
4021000902,"[-111.8163, -111.7413, -111.7413, -111.8163, -111.8913, -111.8913, -111.8163]","[33.1076930777581, 33.06439180756888, 32.97778926719043, 32.93448799700121, 32.97778926719043, 33.06439180756888, 33.1076930777581]"
4021000310,"[-111.8163, -111.7413, -111.7413, -111.8163, -111.8913, -111.8913, -111.8163]","[33.540705779650324, 33.497404509461106, 33.410801969082655, 33.36750069889344, 33.410801969082655, 33.497404509461106, 33.540705779650324]"
4021000312,"[-111.8163, -111.7413, -111.7413, -111.8163, -111.8913, -111.8913, -111.8163]","[33.45410323927188, 33.41080196908266, 33.32419942870421, 33.280898158514994, 33.32419942870421, 33.41080196908266, 33.45410323927188]"
4003000202,"[-111.8163, -111.7413, -111.7413, -111.8163, -111.8913, -111.8913, -111.8163]","[32.32827021435211, 32.28496894416289, 32.19836640378444, 32.15506513359522, 32.19836640378444, 32.28496894416289, 32.32827021435211]"
4003000203,"[-111.66629999999999, -111.59129999999999, -111.59129999999999, -111.66629999999999, -111.7413, -111.7413, -111.66629999999999]","[31.462244810567665, 31.418943540378443, 31.332341, 31.289039729810778, 31.332341, 31.418943540378443, 31.462244810567665]"
4003000201,"[-111.8163, -111.7413, -111.7413, -111.8163, -111.8913, -111.8913, -111.8163]","[32.41487275473055, 32.371571484541334, 32.284968944162884, 32.241667673973666, 32.284968944162884, 32.371571484541334, 32.41487275473055]"
4003002002,"[-111.7413, -111.66629999999999, -111.66629999999999, -111.7413, -111.8163, -111.8163, -111.7413]","[31.505546080756886, 31.462244810567665, 31.37564227018922, 31.332341, 31.37564227018922, 31.462244810567665, 31.505546080756886]"
4003000902,"[-111.7413, -111.66629999999999, -111.66629999999999, -111.7413, -111.8163, -111.8163, -111.7413]","[31.418943540378443, 31.37564227018922, 31.289039729810778, 31.245738459621556, 31.289039729810778, 31.37564227018922, 31.418943540378443]"
4003000901,"[-111.8163, -111.7413, -111.7413, -111.8163, -111.8913, -111.8913, -111.8163]","[31.462244810567665, 31.418943540378443, 31.332341, 31.289039729810778, 31.332341, 31.418943540378443, 31.462244810567665]"
4003001602,"[-111.8163, -111.7413, -111.7413, -111.8163, -111.8913, -111.8913, -111.8163]","[31.63544989132455, 31.59214862113533, 31.505546080756886, 31.462244810567665, 31.505546080756886, 31.59214862113533, 31.63544989132455]"
4003001601,"[-111.8163, -111.7413, -111.7413, -111.8163, -111.8913, -111.8913, -111.8163]","[31.722052431702995, 31.678751161513773, 31.59214862113533, 31.548847350946108, 31.59214862113533, 31.678751161513773, 31.722052431702995]"
4003001701,"[-111.8163, -111.7413, -111.7413, -111.8163, -111.8913, -111.8913, -111.8163]","[31.548847350946108, 31.505546080756886, 31.418943540378443, 31.37564227018922, 31.418943540378443, 31.505546080756886, 31.548847350946108]"
4003001502,"[-111.8163, -111.7413, -111.7413, -111.8163, -111.8913, -111.8913, -111.8163]","[31.80865497208144, 31.76535370189222, 31.678751161513777, 31.635449891324555, 31.678751161513777, 31.76535370189222, 31.80865497208144]"
4003001501,"[-111.8163, -111.7413, -111.7413, -111.8163, -111.8913, -111.8913, -111.8163]","[31.98186005283833, 31.938558782649107, 31.851956242270663, 31.80865497208144, 31.851956242270663, 31.938558782649107, 31.98186005283833]"
4005000400,"[-111.8163, -111.7413, -111.7413, -111.8163, -111.8913, -111.8913, -111.8163]","[35.09955150646231, 35.056250236273094, 34.96964769589464, 34.926346425705425, 34.96964769589464, 35.056250236273094, 35.09955150646231]"
4005001000,"[-111.8163, -111.7413, -111.7413, -111.8163, -111.8913, -111.8913, -111.8163]","[35.01294896608387, 34.96964769589465, 34.8830451555162, 34.83974388532698, 34.8830451555162, 34.96964769589465, 35.01294896608387]"
4005002000,"[-112.1163, -112.04129999999999, -112.04129999999999, -112.1163, -112.1913, -112.1913, -112.1163]","[35.09955150646231, 35.056250236273094, 34.96964769589464, 34.926346425705425, 34.96964769589464, 35.056250236273094, 35.09955150646231]"
4005000200,"[-111.8913, -111.8163, -111.8163, -111.8913, -111.9663, -111.9663, -111.8913]","[35.05625023627309, 35.01294896608387, 34.92634642570542, 34.8830451555162, 34.92634642570542, 35.01294896608387, 35.05625023627309]"
4017963300,"[-111.8163, -111.7413, -111.7413, -111.8163, -111.8913, -111.8913, -111.8163]","[34.66653880457009, 34.62323753438087, 34.53663499400242, 34.4933337238132, 34.53663499400242, 34.62323753438087, 34.66653880457009]"
4017963800,"[-111.8163, -111.7413, -111.7413, -111.8163, -111.8913, -111.8913, -111.8163]","[34.4933337238132, 34.45003245362398, 34.36342991324553, 34.320128643056314, 34.36342991324553, 34.45003245362398, 34.4933337238132]"
4017940013,"[-111.8163, -111.7413, -111.7413, -111.8163, -111.8913, -111.8913, -111.8163]","[34.926346425705425, 34.88304515551621, 34.79644261513776, 34.75314134494854, 34.79644261513776, 34.88304515551621, 34.926346425705425]"
